goos: windows
goarch: amd64
pkg: github.com/gabrielxsuarez/go-firebird-driver/wire
cpu: Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz
BenchmarkDecodeRow_5Cols_2Nulls-8           	 4330125	       271.3 ns/op	      16 B/op	       2 allocs/op
BenchmarkDecodeRow_5Cols_2Nulls-8           	 4726604	       238.5 ns/op	      16 B/op	       2 allocs/op
BenchmarkDecodeRow_5Cols_2Nulls-8           	 5052424	       243.9 ns/op	      16 B/op	       2 allocs/op
BenchmarkDecodeRow_5Cols_2Nulls-8           	 5092634	       243.3 ns/op	      16 B/op	       2 allocs/op
BenchmarkDecodeRow_5Cols_2Nulls-8           	 4956256	       239.2 ns/op	      16 B/op	       2 allocs/op
BenchmarkDecodeRow_5Cols_2Nulls-8           	 4560598	       239.6 ns/op	      16 B/op	       2 allocs/op
BenchmarkDecodeRow_30Cols-8                 	  235341	      5344 ns/op	     432 B/op	      30 allocs/op
BenchmarkDecodeRow_30Cols-8                 	  234602	      5342 ns/op	     432 B/op	      30 allocs/op
BenchmarkDecodeRow_30Cols-8                 	  237126	      5363 ns/op	     432 B/op	      30 allocs/op
BenchmarkDecodeRow_30Cols-8                 	  237804	      5366 ns/op	     432 B/op	      30 allocs/op
BenchmarkDecodeRow_30Cols-8                 	  212845	      5365 ns/op	     432 B/op	      30 allocs/op
BenchmarkDecodeRow_30Cols-8                 	  225991	      5170 ns/op	     432 B/op	      30 allocs/op
BenchmarkDecodeRow_30Cols-8                 	  236077	      5284 ns/op	     432 B/op	      30 allocs/op
BenchmarkDecodeRow_30Cols-8                 	  238057	      5154 ns/op	     432 B/op	      30 allocs/op
BenchmarkDecodeRow_30Cols-8                 	  211795	      5330 ns/op	     432 B/op	      30 allocs/op
BenchmarkDecodeRow_30Cols-8                 	  236712	      5205 ns/op	     432 B/op	      30 allocs/op
BenchmarkDecodeRow_30Cols_HalfNulls-8       	  414546	      2717 ns/op	     216 B/op	      15 allocs/op
BenchmarkDecodeRow_30Cols_HalfNulls-8       	  404132	      2806 ns/op	     216 B/op	      15 allocs/op
BenchmarkDecodeRow_30Cols_HalfNulls-8       	  470173	      2706 ns/op	     216 B/op	      15 allocs/op
BenchmarkDecodeRow_30Cols_HalfNulls-8       	  471736	      2691 ns/op	     216 B/op	      15 allocs/op
BenchmarkDecodeRow_30Cols_HalfNulls-8       	  383694	      2703 ns/op	     216 B/op	      15 allocs/op
BenchmarkDecodeRow_30Cols_HalfNulls-8       	  447001	      2809 ns/op	     216 B/op	      15 allocs/op
BenchmarkDecodeRow_30Cols_HalfNulls-8       	  461030	      2719 ns/op	     216 B/op	      15 allocs/op
BenchmarkDecodeRow_30Cols_HalfNulls-8       	  474397	      2680 ns/op	     216 B/op	      15 allocs/op
BenchmarkDecodeRow_30Cols_HalfNulls-8       	  460369	      2722 ns/op	     216 B/op	      15 allocs/op
BenchmarkDecodeRow_30Cols_HalfNulls-8       	  444386	      2715 ns/op	     216 B/op	      15 allocs/op
BenchmarkBuildDPB_Connect-8                 	50070097	        24.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuildDPB_Connect-8                 	47354463	        24.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuildDPB_Connect-8                 	50603872	        25.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuildDPB_Connect-8                 	41713448	        24.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuildDPB_Connect-8                 	50103756	        24.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuildDPB_Connect-8                 	49047858	        24.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuildDPB_Connect-8                 	50075320	        24.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuildDPB_Connect-8                 	42870615	        25.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuildDPB_Connect-8                 	48322017	        25.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuildDPB_Connect-8                 	50220762	        25.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuildTPB_ReadCommitted-8           	100000000	        11.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuildTPB_ReadCommitted-8           	100000000	        11.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuildTPB_ReadCommitted-8           	100000000	        11.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuildTPB_ReadCommitted-8           	100000000	        11.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuildTPB_ReadCommitted-8           	100000000	        11.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuildTPB_ReadCommitted-8           	100000000	        11.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuildTPB_ReadCommitted-8           	100000000	        11.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuildTPB_ReadCommitted-8           	100000000	        11.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuildTPB_ReadCommitted-8           	100000000	        11.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuildTPB_ReadCommitted-8           	100000000	        11.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendBLR_5Cols-8                  	17878719	        64.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendBLR_5Cols-8                  	19124298	        65.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendBLR_5Cols-8                  	18860006	        66.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendBLR_5Cols-8                  	18793548	        66.37 ns/op	       0 B/op	       0 allocs/op
